Nombre del gen;Siglas;Papers;Estudiado;Grupo;Comentario
Hsjo_dsx;;Saccone, 2022;Hodotermopsis sjostedti;Insect(Isoptera);
Csex_dsx;;Saccone, 2022;Cryptotermes secundus;Insect(Isoptera);
Rspe_dsx;;Saccone, 2022;Reticulitermes speratus;Insect(Isoptera);
Cfor_dsx;;Saccone, 2022;Coptotermes formosanus;Insect(Isoptera);
Mnat_dsx;;Saccone, 2022;Macrotermes natalensis;Insect(Isoptera);
Mtak_dsx;;Saccone, 2022;Nasutitermes takasagoensis;Insect(Isoptera);
Cpun_dsx;;Saccone, 2022;Cryptocercus punculatus;Insect(Blattodea);
Dps-ix;;Saccone, 2022;Drospophila pseudobscura;Insect(diptera);
Dvix;;Saccone, 2022;Drosophila virilis;Insect(diptera);
Gmix;;Saccone, 2022;Glossina morsitans;Insect;
Mgix;;Saccone, 2022;Megaselia scalaris;Insect;
Agix;;Saccone, 2022;Anopheles gambiae;Insect;
Mvix;;Saccone, 2022;Maruca vitrata;Insect;
Bmix;;Saccone, 2022;B.mori;Insect(Lepidoptera);
Btix;;Saccone, 2022;Bemisia tabaci;Insect(Hemiptera);
Ofix;;Saccone, 2022;Oncopeltus fasciatus;Insect(Hemiptera);
Nlix;;Saccone, 2022;Nilaparvata lugens;Insect(Hemiptera);
Agfru;;Saccone, 2022;Anopheles gambiae;Insect(diptera);
Nvfru;;Saccone, 2022;Nasonia vitripennis;Insect;
Sgfru;;Saccone, 2022;Schizocerca gregaria;Insect(Orthoptera);
Ccfru;;Saccone, 2022;Ceratitis capitata;Insect(diptera);
Mdfru;;Saccone, 2022;Musca domestica;Insect(diptera);
Bmfru;;Saccone, 2022;Bombyx mori;Insect(Lepidoptera);
BmPSI;;Saccone, 2022;Bombyx mori;Insect(Lepidoptera);
BxRBP1;;Saccone, 2022;Bombyx mori;Insect(Lepidoptera);
BxRBP3;;Saccone, 2022;Bombyx mori;Insect(Lepidoptera);
Nlfmd;;Saccone, 2022;Nilaparvata lugens;Insect(Hemiptera);
Complementary sex determining locus;csd;Saccone, 2022;Apis mellifera;Insect(Hymenoptera);
Gene Unique to the Y;GUY1;Saccone, 2022;Anopheles stephensi;Insect(Diptera);
Nix;;Saccone, 2022;Aedes aegypti;Insect(diptera);
Yob;;Saccone, 2022;Anopheles gambiae;Insect(diptera);
Aal-Nix;;Saccone, 2022;Aedes albopictus;Insect(diptera);
Musca domestica male determiner;Mdmd;Saccone, 2022;Musca domestica;Insect(diptera);
Maleness-on-the-Y;MoY;Saccone, 2022;Ceratitis capitata;Insect(diptera);
BoMoY;;Saccone, 2022;Bactrocera oleae;Insect(diptera);
BdMoY;;Saccone, 2022;Bactrocera dorsalis;Insect(diptera);
ZcMoY, BjMoY, BlMoY, BtMoy, BcMoY, BzMoy;;Saccone, 2022;Zeucodaacus cucurbitae;Insect;
miRNA-1-3p;;Saccone, 2022;Bactrocera dorsalis;Insect;
wasp overruler of masculinization;wom;Saccone, 2022;Nasonia vitripennis;Insect(Hymenoptera);
